BRCR,RUR_100Z,CR_CL_2Z,rd_up_100Z
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.249272583,-0.56544841
0,-0.413305792,-0.699411851,-0.56544841
0,-0.413305792,-0.367731032,-0.56544841
0,-0.413305792,-0.813916482,-0.56544841
0,-0.413305792,-0.766263006,-0.56544841
0,0.884766677,-0.385049309,-0.56544841
0,-0.264291555,0.56192408,-0.397604205
0,0.825121618,0.09091468,-0.56544841
0,-0.283177517,1.72780006,-0.56544841
1,-0.257210186,1.760075426,-0.56544841
1,-0.23132002,0.395689234,-0.56544841
0,2.892721467,-1.153034612,-0.33152614
0,3.469835107,-1.526300999,1.234653041
0,-0.413305792,0.655323416,-0.56544841
1,-0.413305792,1.398161408,-0.56544841
0,-0.413305792,1.135847017,-0.56544841
0,0.828445363,-0.038937677,-0.56544841
0,1.913006952,-1.097089848,-0.56544841
0,-0.413305792,1.36756904,-0.56544841
0,-0.413305792,0.723811994,-0.56544841
0,-0.413305792,1.320304032,0.54340184
0,-0.413305792,1.136021719,1.501211154
0,-0.413305792,0.445891621,0.927326063
0,-0.413305792,0.30773604,0.253763714
0,-0.413305792,0.732710941,-0.56544841
0,-0.413305792,-0.501698107,-0.56544841
0,-0.413305792,0.229902537,-0.56544841
0,-0.413305792,1.432866324,-0.56544841
0,-0.413305792,1.152821316,-0.56544841
1,-0.413305792,0.893769835,-0.56544841
0,-0.413305792,0.712689667,-0.56544841
0,-0.413305792,0.445294814,-0.56544841
0,-0.413305792,1.210682375,-0.56544841
0,-0.413305792,1.148438576,-0.56544841
0,-0.413305792,0.453234528,-0.56544841
1,-0.413305792,0.754825383,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
1,-0.363556174,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,0.02250857,1.111943991
0,-0.413305792,-1.209385205,4.711982581
0,-0.413305792,0.221788121,2.85823769
0,-0.413305792,0.314069799,1.539864162
0,-0.413305792,1.163124389,1.531184623
0,-0.413305792,-0.751470854,1.873477756
0,-0.413305792,-1.356875945,3.548933027
0,-0.413305792,0.599830056,1.489535965
0,-0.413305792,-1.296487676,1.52318454
0,-0.413305792,0.129797251,2.770076845
0,-0.413305792,0.890905158,3.057192227
0,-0.413305792,-0.169009225,-0.56544841
0,-0.413305792,-1.288309239,1.520414803
0,-0.413305792,0.226118775,1.509066386
0,3.469835107,-1.148362149,-0.56544841
0,3.469835107,-1.527173424,-0.56544841
0,3.000678406,-1.359321772,-0.56544841
0,2.580639358,-1.363925872,-0.56544841
0,-0.413305792,0.05844291,1.454704858
0,-0.413305792,-0.07923631,0.770989264
1,-0.413305792,0.040188187,-0.56544841
5,-0.413305792,-0.460133156,-0.56544841
2,-0.413305792,-0.112992844,-0.56544841
3,-0.413305792,0.761295865,-0.56544841
0,-0.413305792,0.740127634,0.325698998
1,-0.413305792,0.577030913,-0.56544841
2,-0.413305792,1.624610906,-0.56544841
0,-0.413305792,0.139312538,-0.56544841
0,-0.413305792,-0.075382016,-0.56544841
1,-0.413305792,1.251966283,-0.56544841
0,-0.413305792,0.745624777,-0.56544841
0,-0.32153374,-1.527173424,-0.56544841
0,-0.413305792,-0.578344505,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-0.401527715,-0.56544841
0,-0.413305792,-0.866847908,-0.56544841
0,-0.413305792,-1.249068583,-0.56544841
0,-0.413305792,-0.468446146,-0.56544841
1,-0.302988639,-0.131599141,-0.56544841
0,-0.413305792,-0.395537935,-0.56544841
0,-0.413305792,-0.848149377,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,0.464874197,-0.76856994,-0.56544841
0,0.049306906,0.95334102,1.566315751
0,-0.413305792,0.025096545,-0.56544841
0,-0.413305792,-1.139661777,-0.56544841
0,2.662254109,-1.119172822,-0.56544841
0,0.177529885,0.543778952,-0.56544841
0,0.589008632,-0.345793462,-0.56544841
0,0.985379142,-0.656991838,-0.56544841
0,1.129327575,-0.676766793,-0.56544841
0,1.739247533,-0.4196978,-0.56544841
0,2.638258153,-0.874012857,-0.56544841
0,0.989183499,-0.818006243,0.091328116
0,2.327524304,-1.244527418,-0.56544841
0,0.287850453,-0.038289869,-0.56544841
0,-0.285153042,-0.079021459,-0.258536502
1,-0.038761066,0.128953039,0.19902886
2,0.092242161,0.731874325,-0.56544841
0,0.179973645,0.08859364,1.478527926
0,0.180618232,0.405486648,-0.232610538
0,0.823656647,-0.241351011,-0.51715792
0,-0.409569337,0.619458522,-0.56544841
0,-0.413305792,1.717976603,-0.56544841
0,-0.413305792,0.730334561,-0.56544841
1,-0.413305792,1.215161689,-0.56544841
0,-0.068246933,0.988193511,-0.56544841
1,-0.258997742,0.679232621,-0.56544841
0,-0.413305792,1.029888674,-0.56544841
1,-0.413305792,1.587553481,-0.56544841
0,-0.413305792,1.379716791,-0.56544841
0,-0.413305792,1.030189248,-0.56544841
0,-0.413305792,-0.916801807,-0.56544841
0,-0.413305792,-1.114529657,-0.56544841
0,-0.413305792,0.17454156,-0.56544841
0,-0.413305792,-0.290598506,-0.56544841
0,-0.413305792,-0.86118583,-0.56544841
0,-0.413305792,0.183206124,-0.56544841
0,-0.413305792,-0.354677217,-0.56544841
0,-0.413305792,-0.288968678,-0.56544841
0,-0.413305792,-0.231946405,-0.56544841
0,-0.413305792,0.451510296,-0.56544841
0,-0.413305792,1.272450897,-0.56544841
1,-0.413305792,0.253905062,-0.56544841
0,-0.413305792,-0.621505646,-0.56544841
0,-0.413305792,-0.321216917,-0.56544841
1,-0.413305792,-0.171967221,-0.56544841
0,-0.413305792,0.055738828,-0.56544841
0,-0.380153195,-0.532806985,-0.56544841
0,0.833935554,-0.57457485,-0.56544841
0,3.443754934,-1.492586784,-0.56544841
0,-0.413305792,-0.039103698,-0.56544841
1,-0.413305792,0.521655829,-0.56544841
0,-0.413305792,-0.279711647,-0.56544841
0,2.74972658,-1.101451971,1.847582521
0,3.10814562,-1.527173424,-0.56544841
0,3.089900188,-1.191326886,0.643378872
0,0.473438667,-0.040549058,1.71004867
0,0.616109845,0.382697271,0.462143974
0,0.304678381,1.444966331,-0.56544841
0,-0.411743949,1.330974956,-0.56544841
0,3.191029471,-1.404472995,-0.56544841
0,2.463684413,-0.997404498,-0.56544841
0,1.885819499,-0.671475821,-0.56544841
0,-0.413305792,-1.391535287,-0.56544841
1,-0.413305792,1.400860064,-0.56544841
0,-0.413305792,1.277240551,-0.56544841
0,0.669898895,-0.114538034,-0.56544841
0,-0.413305792,1.527327978,2.605538565
0,-0.413305792,1.379104792,1.812643715
0,-0.413305792,-0.206712286,0.04551075
0,-0.413305792,1.315952761,0.804632931
0,0.897980858,-0.705107568,1.483637661
0,-0.40441062,-0.41603557,-0.56544841
0,2.275189701,-1.212164159,-0.56544841
0,2.818025176,-1.361630875,-0.56544841
0,2.708403855,-1.4091715,-0.56544841
0,2.060970916,-1.072493771,-0.56544841
0,-0.147824573,0.424707115,3.190653945
0,-0.413305792,0.496151519,1.274448102
0,-0.413305792,0.16819261,2.861721393
0,-0.413305792,1.583702443,1.491781064
0,-0.413305792,0.184176208,1.609935499
0,-0.413305792,-0.519729298,1.511185777
0,-0.413305792,-0.130894908,2.251972594
0,-0.413305792,0.246455815,1.545725116
0,-0.413305792,1.4195,1.574869948
0,1.170953798,-0.485867509,-0.56544841
0,2.039835713,-0.687107845,-0.56544841
0,2.879529495,-1.283432776,-0.56544841
0,3.016930787,-1.326087173,-0.56544841
0,3.227551285,-1.461163225,-0.56544841
0,2.356106349,-1.431173091,-0.56544841
0,2.297698213,-1.058269128,-0.56544841
0,2.138352107,-0.952985721,-0.56544841
1,-0.087681872,-0.387974752,-0.56544841
0,1.545189965,0.190705285,-0.56544841
1,1.275469742,0.298098137,-0.56544841
1,0.018427167,-0.229002515,-0.56544841
2,-0.124443875,0.84095777,-0.56544841
2,-0.413305792,1.196185371,-0.56544841
1,2.141616593,-0.88039436,-0.56544841
0,1.925556795,-1.321285583,-0.56544841
0,2.357926663,-1.518348264,0.239582519
0,1.759836868,-0.527297906,-0.56544841
0,2.143553049,-0.629420402,1.490182818
0,1.994934525,-0.562199227,-0.56544841
1,-0.413305792,0.694259157,1.467209342
1,-0.413305792,1.353307504,1.522444912
0,-0.413305792,0.832197717,-0.56544841
0,-0.413305792,1.390060013,-0.56544841
1,-0.413305792,0.977920821,-0.56544841
0,-0.413305792,1.078025021,1.466306143
0,-0.413305792,1.153532059,0.813481819
0,-0.413305792,1.213805307,1.508288838
0,-0.413305792,1.641417013,0.946712991
1,-0.413305792,0.709777245,1.491262468
1,-0.413305792,0.489178634,0.298941528
0,-0.413305792,1.462678502,0.528488932
0,2.230315001,-0.15538573,-0.56544841
0,-0.367830175,0.771605448,1.53810208
0,-0.413305792,0.37055386,1.501829513
0,-0.413305792,1.272571344,-0.56544841
0,-0.413305792,0.638673563,-0.56544841
0,-0.413305792,0.870239331,-0.56544841
0,0.185417813,0.012961815,1.294150189
0,-0.413305792,1.330774211,-0.56544841
0,-0.413305792,0.745435969,1.273007435
1,-0.413305792,-0.391995067,-0.56544841
1,-0.413305792,0.563436716,-0.56544841
0,-0.413305792,1.114243659,-0.56544841
0,-0.413305792,0.705738484,-0.56544841
1,-0.413305792,1.632337939,-0.56544841
0,-0.413305792,0.608355727,-0.56544841
1,-0.413305792,0.080305608,-0.56544841
3,-0.413305792,-0.559316102,-0.56544841
0,-0.413305792,-0.487497336,-0.56544841
0,-0.413305792,0.647037553,-0.56544841
1,-0.413305792,-0.270259296,-0.56544841
0,-0.413305792,-0.157159877,-0.56544841
0,-0.413305792,-0.23725691,-0.56544841
0,-0.413305792,1.109888047,-0.56544841
0,-0.413305792,-0.428818108,-0.56544841
0,-0.413305792,-0.064452838,-0.56544841
1,-0.413305792,-0.12600651,-0.56544841
0,-0.413305792,0.265694728,-0.56544841
1,-0.413305792,-0.076582143,-0.56544841
0,-0.413305792,0.66806255,-0.56544841
3,-0.413305792,-0.085774068,-0.56544841
0,-0.413305792,0.39441098,-0.56544841
0,-0.413305792,0.766644348,-0.56544841
0,-0.413305792,0.323916042,-0.56544841
0,-0.413305792,0.13835439,-0.56544841
1,-0.413305792,1.660442161,-0.56544841
1,-0.413305792,0.262392754,-0.56544841
1,-0.413305792,0.869618651,-0.56544841
0,-0.413305792,0.387291606,-0.56544841
0,-0.413305792,0.571761642,-0.56544841
0,-0.413305792,1.186521425,-0.56544841
0,-0.413305792,1.043558828,-0.56544841
1,-0.413305792,1.470620386,-0.56544841
0,1.674607597,-0.520194808,-0.56544841
0,1.75913681,-0.559259677,-0.56544841
0,0.592344734,0.201327379,-0.56544841
1,-0.413305792,0.082505116,-0.56544841
0,-0.413305792,0.670254462,1.367496043
0,-0.413305792,0.472012271,0.165843645
0,-0.413305792,1.404213039,-0.169804687
1,-0.413305792,1.500666946,2.649988967
0,-0.413305792,0.099644351,1.456625346
0,-0.413305792,0.837864136,1.091725499
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.177488938,-1.021502512,-0.56544841
0,-0.299141048,-1.182803385,-0.56544841
0,-0.124734798,-0.922374906,-0.56544841
0,-0.413305792,0.259251374,-0.56544841
0,-0.413305792,-0.000375212,-0.56544841
0,-0.413305792,-0.634892587,-0.56544841
0,-0.413305792,-0.487137082,-0.56544841
0,-0.413305792,-0.440439584,-0.56544841
0,-0.413305792,0.611568723,-0.56544841
1,-0.413305792,1.112117938,0.64293615
1,-0.413305792,0.483724896,0.189768785
1,-0.413305792,-0.560874313,0.497230434
1,-0.413305792,-0.207972093,-0.56544841
0,-0.413305792,-0.781051904,-0.56544841
0,-0.413305792,-0.868489672,-0.56544841
0,-0.413305792,0.629780042,-0.56544841
1,-0.056595838,1.14997183,-0.56544841
0,2.752478484,-0.877977831,0.765668349
0,2.666964561,-0.743525714,1.488487445
0,-0.413305792,1.448284583,2.333102688
0,-0.305396659,1.295288019,-0.56544841
1,-0.413305792,0.561350059,-0.56544841
1,0.073224405,0.13273029,-0.56544841
0,0.676730699,-0.043664394,-0.56544841
0,1.574800301,-1.158771562,-0.56544841
0,-0.315563309,-0.228195197,-0.56544841
0,-0.314505863,0.33524454,-0.56544841
2,-0.413305792,1.509789425,-0.56544841
0,-0.230276693,0.988478893,-0.56544841
0,-0.413305792,0.667071849,-0.56544841
1,-0.413305792,1.311487553,-0.56544841
2,0.344700895,0.585892966,-0.56544841
0,1.693917775,-1.202020596,1.360515473
1,1.027020916,-1.381871341,0.506136444
0,1.601212093,-0.482331151,0.963135468
2,-0.413305792,1.614939364,-0.337934838
2,-0.413305792,-0.576140657,-0.56544841
1,-0.413305792,1.877258096,-0.56544841
2,-0.413305792,1.746602761,-0.56544841
0,-0.413305792,1.816709231,-0.56544841
2,-0.413305792,1.778069724,-0.56544841
0,-0.413305792,0.64947904,1.694424638
0,1.72325079,-0.885695099,1.460595384
0,1.524290561,-0.79557278,3.147958466
0,3.45698568,-1.264738586,-0.56544841
0,3.469835107,-0.714316855,-0.56544841
0,1.119735924,-0.362084145,-0.56544841
0,0.899388993,-0.057062187,-0.56544841
0,-0.183187423,0.05539702,-0.56544841
0,-0.413305792,0.471067145,-0.56544841
0,-0.413305792,-1.379283365,-0.56544841
0,-0.413305792,-1.373763435,-0.56544841
0,-0.413305792,-1.349573187,-0.56544841
0,-0.413305792,-0.883637739,-0.56544841
0,-0.413305792,-0.77373938,-0.56544841
0,-0.413305792,0.027817989,-0.56544841
0,2.060672008,-1.223204018,2.499929522
0,2.947050792,-1.481283244,-0.56544841
0,2.620061121,-0.750646174,-0.56544841
0,0.723833797,0.028764201,-0.56544841
0,1.607564433,-1.047607971,-0.56544841
1,1.981723469,-0.310123887,-0.56544841
0,0.293272952,-1.174823522,-0.56544841
0,0.637758393,-0.537012852,-0.56544841
0,1.983321131,-0.481280769,1.354062232
0,2.033667457,-1.319574372,1.769451379
0,2.529651433,-1.271464067,1.195247982
0,3.420292231,-1.522988173,-0.037143096
0,-0.183832866,-0.266929108,1.649684316
0,-0.413305792,0.634832291,1.478598181
1,-0.413305792,1.046173931,1.495280623
0,-0.413305792,0.826735298,-0.56544841
0,2.476649835,0.03118507,1.044863275
0,1.736786189,0.675379413,1.385981749
0,2.351704696,-0.846822294,1.817794805
0,1.205973993,-0.240268076,0.047739137
0,0.988803946,-0.16674244,-0.56544841
0,1.608574032,-0.606460664,0.045451957
0,1.000576341,-0.926867241,-0.56544841
0,0.152920587,-1.245819778,2.663725193
0,0.21475099,-0.566464775,1.092933913
0,-0.306544693,0.067354878,-0.56544841
0,-0.413305792,0.041811504,-0.56544841
1,-0.413305792,-0.296083712,-0.56544841
0,-0.413305792,0.696419601,-0.56544841
0,-0.353422587,0.569515475,1.763687433
0,-0.413305792,-1.01673239,-0.56544841
0,-0.413305792,-0.888480564,-0.56544841
0,0.583303034,-0.663136788,0.032564643
0,2.573432452,-1.26307946,1.504509656
0,-0.315109976,-0.600290756,-0.56544841
0,-0.413305792,-1.472806403,-0.56544841
0,-0.413305792,-1.378916599,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.33111963,0.297615265,0.104275522
0,-0.413305792,0.06721273,0.730739158
0,0.517084111,-1.094374915,1.422015981
0,1.301898704,-0.909473007,1.497196946
0,2.092847144,-0.384170374,-0.037421512
1,-0.221697032,1.524675981,-0.56544841
0,0.058816161,1.306535134,-0.56544841
0,0.062669357,1.031281949,-0.56544841
1,-0.390980781,1.384079999,-0.56544841
0,0.007152999,1.032543926,-0.56544841
0,-0.413305792,1.518664499,-0.56544841
0,-0.162415109,0.294325226,-0.56544841
0,2.957802683,-1.205582996,-0.56544841
0,2.305664167,-0.620291413,-0.561997546
0,1.987765507,-0.482942065,-0.56544841
0,2.442424924,-0.828032614,1.361816932
0,-0.413305792,-0.021501123,-0.56544841
0,-0.413305792,-0.614301633,-0.56544841
0,-0.288320165,-0.499035259,0.970463259
0,-0.413305792,0.168935907,1.502988158
2,-0.413305792,0.019725275,-0.56544841
1,-0.413305792,0.613056402,-0.56544841
1,-0.413305792,0.935730849,0.887690791
0,-0.413305792,-0.457404117,1.440226185
0,1.6856794,-0.698497108,1.650755686
0,-0.375914687,1.743547105,0.943488434
0,-0.413305792,1.736759773,1.242763182
0,0.21728188,0.166695165,1.326134986
0,-0.413305792,-0.378894593,1.628782452
0,-0.413305792,-1.463543946,0.976304669
0,-0.413305792,-1.255897149,1.473311463
1,-0.413305792,0.531336052,3.784004552
0,0.933409223,-0.270783402,1.362744407
0,3.469835107,-1.502441708,-0.56544841
0,3.291692817,-1.527173424,0.71546125
0,0.876123524,-1.527173424,-0.56544841
0,0.982473298,-1.527173424,1.092231862
0,-0.413305792,0.152314267,-0.56544841
0,-0.413305792,-0.52464591,-0.066496256
0,-0.413305792,-0.38660535,1.669041673
0,0.735239416,-1.10515869,2.726950851
1,-0.413305792,1.017313391,-0.56544841
1,-0.413305792,1.651945788,0.730595565
0,-0.413305792,1.647455623,1.399830173
0,-0.413305792,1.226196122,0.76645973
0,-0.413305792,-0.854822774,-0.56544841
0,-0.413305792,-0.38031174,-0.56544841
0,-0.413305792,-1.082463717,-0.56544841
0,-0.413305792,-0.881620529,-0.56544841
1,-0.413305792,1.241351785,-0.56544841
0,-0.413305792,-0.364648248,-0.56544841
2,-0.413305792,0.603930668,-0.56544841
0,-0.413305792,0.572804428,-0.56544841
1,-0.413305792,0.678314623,-0.56544841
0,-0.413305792,0.499415515,-0.56544841
0,-0.413305792,0.273176528,-0.56544841
0,-0.413305792,0.683854084,-0.56544841
0,-0.413305792,0.001872041,-0.56544841
1,-0.413305792,-0.25791297,-0.56544841
0,-0.413305792,0.833804757,-0.56544841
1,-0.413305792,1.233040965,-0.56544841
0,-0.413305792,1.565357657,-0.56544841
1,-0.413305792,1.776659087,-0.56544841
2,-0.413305792,-0.054525211,-0.56544841
1,-0.413305792,0.084245624,-0.56544841
0,-0.413305792,-0.542750888,-0.56544841
0,-0.413305792,-0.484140021,-0.56544841
1,-0.413305792,-0.751766002,-0.56544841
0,-0.413305792,-0.228471899,-0.56544841
0,-0.389622203,0.985232259,-0.56544841
0,-0.109977699,1.369101208,-0.56544841
0,0.501489227,0.62304588,0.631488094
0,0.961050903,0.056141402,0.722654967
2,-0.044074781,0.169140992,2.994315737
0,1.770428469,-1.527173424,-0.56544841
0,0.858157089,-1.527173424,-0.56544841
0,1.200155897,-1.283162585,-0.56544841
0,-0.413305792,0.36177753,0.90789592
0,2.874040542,-0.755114636,-0.56544841
0,-0.413305792,1.681934838,-0.56544841
0,-0.413305792,0.819594221,-0.56544841
1,-0.413305792,1.399747832,-0.56544841
0,-0.413305792,1.852958252,-0.56544841
1,-0.413305792,0.86691674,-0.56544841
1,-0.413305792,1.400528022,-0.56544841
2,-0.413305792,1.418062235,-0.56544841
0,-0.413305792,0.445379452,-0.56544841
1,-0.413305792,1.457082615,-0.56544841
0,-0.413305792,1.569857587,-0.56544841
1,-0.413305792,1.387632633,-0.56544841
0,-0.413305792,1.682415539,-0.56544841
2,-0.413305792,1.679049543,-0.56544841
0,-0.413305792,1.556241689,-0.56544841
2,-0.413305792,1.734256435,-0.56544841
0,-0.413305792,1.158639649,-0.56544841
0,-0.413305792,1.592343135,-0.56544841
0,-0.413305792,1.795037512,-0.56544841
3,-0.413305792,0.692783414,-0.56544841
0,3.469835107,-1.527173424,1.276035564
0,3.469835107,-1.339256008,0.782769995
0,3.469835107,-1.527173424,1.521538233
0,0.706301817,-1.527173424,-0.209820615
0,2.942660208,-1.527173424,-0.56544841
0,2.561216813,-1.527173424,-0.56544841
0,2.509959964,-1.480752628,-0.56544841
0,3.469835107,-1.527173424,0.555130474
0,3.469835107,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
